,Unnamed: 0,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,replaced_review,문장벡터화
9,9,"여에스더 루테인&지아잔틴 눈, 30정, 3개, 30정",2023.06.19,비싼대 배송많이느림 기본2주걸림 한달기다리고 받았음 늦는다멘트도없음,1.0,신*태 ,"['비싸다', '배송', '많이', '느리다', '기본', '걸리다', '달기', '다리', '받다', '늦다', '멘트', '없다']",비싸다 느리다 기본 걸리다 달기 늦다,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]"
25,25,"JW중외제약 루테인 지아잔틴 오메가3, 3개, 30정, 30정",2022.12.12,캡슐 특유의 냄새가 나서 먹기 힘들어요\n\n목넘김도 좋지 않네요 ㅠㅠ\n\n일주일 정도 억지로 복용했으나 실패했어요\n\n도저히 비리고 냄새나서 못먹고 있네요\n\n건강을 위해서 먹어보려 했으나 …\n\n전 도저히 먹을 수 없어서 3박스를 어찌해야할지\n\n참….. 막막하네요,3.0,그대리에타 ,"['캡슐', '특유', '냄새', '나서다', '먹기', '힘들다', '넘김', '좋다', '않다', '일주일', '정도', '억지로', '복용', '하다', '실패하다', '도저히', '비리', '냄새', '나서다', '먹다', '있다', '건강', '위해', '먹다', '보다', '하다', '도저히', '먹다', '없다', '박스', '어찌', '하다', '하다', '차다', '막막하다']",캡슐 특유 냄새 나서다 먹기 힘들다 넘김 좋다 억지로 복용 실패하다 도저히 비리 냄새 나서다 건강 위해 도저히 박스 차다 막막하다,"[(6, 1), (7, 2), (8, 2), (9, 1), (10, 2), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1)]"
36,36,"JW중외제약 루테인 지아잔틴 오메가3, 3개, 30정, 30정",2021.06.01,캡슐이 너무 커서 캡슐 넘기기 어려운 분들은 먹기 힘들듯. 그거빼면 아직은 모르겠네요. 루테인 오메가3는 매일 먹지만 실제로 눈건강에 도움을 주는지는 잘 모르겠네요 ㅎㅎ,3.0,쿠팡실구매자 ,"['캡슐', '너무', '커서', '캡슐', '넘기다', '어렵다', '먹기', '힘들다', '그거', '빼다', '아직', '모르다', '루테', '오메가', '늘다', '매일', '먹다', '실제', '건강', '도움', '주다', '자다', '모르다']",캡슐 커서 캡슐 넘기다 어렵다 먹기 힘들다 빼다 아직 모르다 루테 오메가 늘다 건강 도움 모르다,"[(6, 1), (12, 1), (21, 2), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 2), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1)]"
44,44,"JW중외제약 루테인 지아잔틴 오메가3, 3개, 30정, 30정",2021.06.19,예전엔 다른제품을 먹었을땐 시력이 좋아 졌는데 이 제품은 그걸 모르겠어요,3.0,윤*자 ,"['예전', '제품', '먹다', '시력', '좋다', '지다', '제품', '그걸', '모르다']",제품 시력 좋다 지다 제품 모르다,"[(19, 1), (28, 1), (34, 1), (35, 2), (36, 1)]"
55,55,"여에스더 루테인&지아잔틴 눈, 30정, 3개, 30정",2023.06.19,비싼대 배송많이느림 기본2주걸림 한달기다리고 받았음 늦는다멘트도없음,1.0,신*태 ,"['비싸다', '배송', '많이', '느리다', '기본', '걸리다', '달기', '다리', '받다', '늦다', '멘트', '없다']",비싸다 느리다 기본 걸리다 달기 늦다,"[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]"
71,71,"JW중외제약 루테인 지아잔틴 오메가3, 3개, 30정, 30정",2022.12.12,캡슐 특유의 냄새가 나서 먹기 힘들어요\n\n목넘김도 좋지 않네요 ㅠㅠ\n\n일주일 정도 억지로 복용했으나 실패했어요\n\n도저히 비리고 냄새나서 못먹고 있네요\n\n건강을 위해서 먹어보려 했으나 …\n\n전 도저히 먹을 수 없어서 3박스를 어찌해야할지\n\n참….. 막막하네요,3.0,그대리에타 ,"['캡슐', '특유', '냄새', '나서다', '먹기', '힘들다', '넘김', '좋다', '않다', '일주일', '정도', '억지로', '복용', '하다', '실패하다', '도저히', '비리', '냄새', '나서다', '먹다', '있다', '건강', '위해', '먹다', '보다', '하다', '도저히', '먹다', '없다', '박스', '어찌', '하다', '하다', '차다', '막막하다']",캡슐 특유 냄새 나서다 먹기 힘들다 넘김 좋다 억지로 복용 실패하다 도저히 비리 냄새 나서다 건강 위해 도저히 박스 차다 막막하다,"[(6, 1), (7, 2), (8, 2), (9, 1), (10, 2), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1), (16, 1), (17, 1), (18, 1), (19, 1), (20, 1), (21, 1), (22, 1), (23, 1)]"
82,82,"JW중외제약 루테인 지아잔틴 오메가3, 3개, 30정, 30정",2021.06.01,캡슐이 너무 커서 캡슐 넘기기 어려운 분들은 먹기 힘들듯. 그거빼면 아직은 모르겠네요. 루테인 오메가3는 매일 먹지만 실제로 눈건강에 도움을 주는지는 잘 모르겠네요 ㅎㅎ,3.0,쿠팡실구매자 ,"['캡슐', '너무', '커서', '캡슐', '넘기다', '어렵다', '먹기', '힘들다', '그거', '빼다', '아직', '모르다', '루테', '오메가', '늘다', '매일', '먹다', '실제', '건강', '도움', '주다', '자다', '모르다']",캡슐 커서 캡슐 넘기다 어렵다 먹기 힘들다 빼다 아직 모르다 루테 오메가 늘다 건강 도움 모르다,"[(6, 1), (12, 1), (21, 2), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 2), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1)]"
90,90,"JW중외제약 루테인 지아잔틴 오메가3, 3개, 30정, 30정",2021.06.19,예전엔 다른제품을 먹었을땐 시력이 좋아 졌는데 이 제품은 그걸 모르겠어요,3.0,윤*자 ,"['예전', '제품', '먹다', '시력', '좋다', '지다', '제품', '그걸', '모르다']",제품 시력 좋다 지다 제품 모르다,"[(19, 1), (28, 1), (34, 1), (35, 2), (36, 1)]"
159,159,"유한양행 루테인지아잔틴 복합추출물 120캡슐 +60캡슐(6개월분), 60개(2개월)",2023.04.05,상품이야 좋겠죠.\n근데 60캡슐 가격이 다른데보다 거의 2배 비싸요.,2.0,김*애 ,"['상품', '좋다', '근데', '캡슐', '가격', '거의', '비싸다']",상품 좋다 근데 캡슐 가격 비싸다,"[(5, 1), (19, 1), (21, 1), (37, 1), (38, 1), (39, 1)]"
168,168,"유한양행 루테인지아잔틴 복합추출물 120캡슐 +60캡슐(6개월분), 3개",2023.07.31,제품은 복용해봐야 알겠지만 배송은 완존 파이다 29일 도착이었는데 도서산간지방도 아니고 이틀지난 31일 오후에 도착 별다른 통보도없고 지연되고 있다고 달랑 상투적인 문구만~~제주로 배송해도 이거보다는 빨리 들어갈듯 취소하려다 그냥 기다렸는데 영 아닌것같네 날짜 너무 빡빡하게 시키지마세요 여유있게 시키세요 성질급하신분은 짜증많이 납니다,1.0,한*승 ,"['제품', '복용', '해보다', '알다', '배송', '완존', '파이', '도착', '이다', '도서', '산간', '지방도', '아니다', '이틀', '지난', '오후', '도착', '별다르다', '통보', '없다', '지연', '되다', '있다', '달랑', '상투', '문구', '제주', '배송', '하다', '빨리', '들어가다', '취소', '하다', '그냥', '기다리다', '아니다', '같다', '날짜', '너무', '빡빡', '하다', '시키다', '말다', '여유', '있다', '시키다', '성질', '급하다', '신분', '짜증', '많이', '나다']",제품 복용 해보다 알다 완존 파이 도착 도서 산간 지방도 아니다 지난 도착 별다르다 통보 지연 달랑 상투 문구 제주 빨리 취소 기다리다 아니다 날짜 빡빡 여유 성질 급하다 신분 짜증,"[(14, 1), (35, 1), (40, 1), (41, 1), (42, 1), (43, 1), (44, 1), (45, 2), (46, 1), (47, 1), (48, 1), (49, 1), (50, 1), (51, 1), (52, 1), (53, 1), (54, 2), (55, 1), (56, 1), (57, 1), (58, 1), (59, 1), (60, 1), (61, 1), (62, 1), (63, 1), (64, 1), (65, 1), (66, 1)]"
