,Unnamed: 0,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,replaced_review
11,11,"[조아제약] 블랙마카 마스터클래스 아르기닌 야관문 흑마늘 활력강화, 60정, 810mg, 3박스",2022.06.16,땀을 많이 흘리다보니 구매하였습니다 약의 효능이랑 몸에 맞는지는 모르지만 기력회복에 도움되길바라면서 3개월분 다먹어보고 그때 사용후기 올리겠습니다,3.0,이*용 ,"['많이', '흘리다', '보다', '구매', '하다', '효능', '맞다', '모르다', '기력', '회복', '도움', '되다', '바라다', '개월', '먹다', '보고', '그때', '사용', '후기', '올리다']",흘리다 구매 효능 맞다 모르다 기력 회복 도움 바라다 후기 올리다
38,38,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2021.12.29,"2병이나 샀는데, 지난 회에 산 것보다 유효기간이 짧은 물건이 배송되어 멘붕입니다.",2.0,김*희 ,"['사다', '지난', '유효', '기간', '짧다', '물건', '배송', '되어다', '멘붕', '이다']",사다 지난 유효 기간 짧다 물건 멘붕
41,41,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 60개입, 1개, 60정",2021.03.07,"이거 효과 진짜 좋은데 무슨 성분때문인진 몰라도 속이 너무 메스꺼워지네요 아연때문인지,,, 성분 잘 보고 사세요",2.0,박* ,"['효과', '진짜', '좋다', '무슨', '성분', '문인진', '모르다', '속이다', '너무', '메스껍다', '아연', '때문', '성분', '자다', '보고', '사다']",좋다 성분 문인진 모르다 속이다 메스껍다 성분 사다
57,57,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2021.01.25,외국출장때 늘상 샀던 약이 코로나 인해서 ㅠㅠ,3.0,김*석 ,"['외국', '출장', '사다', '코로나', '인하다']",외국 출장 사다 코로나 인하다
59,59,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.07,"상품설명란에
2022년 5월1일 이후인 제품이라고 분명히 적혀있어서
6병이나 샀는데
5월1일까지인제품임
지금먹어도 1개월치는 버려야하는 제품이구요

쿠팡대체 유통기한임박제품 이라고 설명란에 못써놓습까??
그랬슴 구매도안했을텐데

얼른환불해주세요",1.0,전*석 ,"['상품', '설명', '이후', '제품', '분명하다', '적히다', '사다', '지금', '먹다', '개월', '치다', '버리다', '야하다', '제품', '이구', '쿠팡', '대체', '유통', '기한', '임박', '제품', '설명', '써다', '끄다', '그랬슴', '도안', '하다', '얼른', '환불', '해주다']",상품 설명 제품 분명하다 적히다 사다 치다 버리다 야하다 제품 이구 쿠팡 대체 임박 제품 설명 써다 끄다 그랬슴 도안 얼른 환불 해주다
60,60,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.05,직구인데도 3일만에 배송. 120정 하루한알이면 4개월치인데 오늘 2월 6일인데 유통기한이 22년5월이네요.3통이나 구매했는데 너무한거 아닌가요?,3.0,손*혜 ,"['직구', '배송', '하루', '개월치', '오늘', '유통', '기한', '구매', '하다', '너무하다', '아니다']",직구 개월치 구매 너무하다 아니다
61,61,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.07,진짜.....아니 2월에 구매하는데 5월 유통기한인걸 팔면 어떻게하나요...심지어 3통이나 구매했는데......진짜 유통기한 긴 제품으로 확인하고 판매하시면 좋겠네요.,1.0,김*경 ,"['진짜', '아니다', '구매', '하다', '유통', '기한', '팔면', '어떻다', '하나요', '심지어', '구매', '하다', '진짜', '유통', '기한', '기다', '제품', '확인', '판매', '하다', '좋다']",아니다 구매 팔면 어떻다 하나요 구매 기다 제품 확인 판매 좋다
63,63,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.05,"2병샀는데 유통기한이 5월까지에요
한병에 3개월치인데
어쩔",1.0,구*희 ,"['사다', '유통', '기한', '개월치', '어쩔']",사다 개월치 어쩔
64,64,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.09,유통기한이 23년 7월이후라고 보고 2개구입했는데 유통기한22년 5월까지 입니다 어떻게 해야하는지~~,1.0,강*협 ,"['유통', '기한', '보고', '구입', '하다', '유통', '기한', '이다', '어떻다', '하다']",구입 어떻다
72,72,"닥터스베스트 루테인 20mg 소프트젤, 180정, 1개",2020.04.11,"주문날짜: 2020.03.19
수령날짜: 2020.03.25 (로켓직구)
유통기한: 2022.11월


세계적이슈인 코로나19로인해 공지처럼
배송이 많이 늦어질것으로 예상했으나
생각보다는 빠르게 도착했어요.

직업특성상 모니터를 장시간 보다보니
이제 루테인은 필수로 챙겨먹고있습니다.
얼마전까지 국내제품을 먹었는데
몇알 남지않아서 이제품으로 구매해봤고
비타민외에도 닥터베스트는 자주 이용하던터라
큰 불안감?없이 구매했어요.

지금보니 알약 크기가 기존 먹던 제품보다
더 작아서 삼켜 넘기는게 훨씬 편해요.
제가 목구멍이 좁은지 알약이 조금만 커도
식도에서 넘어가는 느낌이 강한데
이제품은 알약이 꽤 작아서 먹기 편해요.

루테인은 약 일여년전부터 챙겨먹기 시작했어요.
시야가 답답할정도로 뿌옇게 눈이 항상 피로 하다보니
불편하고 지장이 많아 나름 공부를 시작했는데
꼭 챙겨하는것들 공유할게요.

1. 눈 운동(눈 스트레칭) 한번씩 꼭 해주기
: 좌측 끝까지 스트레칭, 우측 끝까지 스트레칭
(째려보기를 생각하심돼요)
또 위쪽 끝까지, 아래끝까지
(고개는 가만히두고 눈알만 움직이며 스트레칭하기)
마무리로 눈 회전. 역시 마찬가지로 천천히
구석구석 눈을 돌려가며 쫙 스트레칭해주는거예요.
좌측에서 시계방향으로 한번,
반대로 우측에서 시계 반대방향으로 한번.
끝 ^ㄴ^

2. 매일 저녁 따뜻한물로 눈알 씻어주기
3. 하루 한알 20mg초과하지 않는 루테인 챙겨먹기
4. 어두운곳에서 핸드폰 혹은 컴퓨터 사용 자제하기

그밖에 장시간 모니터를 봐야할땐
시력 보호 안경을 착용 합니다.
도수없는 안경이지만 블루라이트 차단으로
시력보호도되고 개인적으론 눈 가려움이 줄어들었어요.

* 단, 루테인 섭취시 주의할점은
잘 챙겨먹겠다고 과하게 먹으면 황변현상으로
온 몸과 얼굴이 노랗게 될 수 있으며
폐암발병률이 높아질 위험이 있으니
반드시 하루 최대기준치인 20mg을 넘지 않는게 좋아요.

저의 경우 루테인 섭취 초창기에
루테인 함량이 많을수록 더 도움이 될까싶어
20mg짜리를 하루에 아침저녁으로 한알씩
하루에 총 두알 꼭 챙겨먹었는데
어느날엔가 부쩍 얼굴이 황달처럼
진짜 노랗더라고요. ㅋㅋㅋㅋ
영양제를 여러개 먹고 있단터라
도대체 뭐가 문제였을까싶어 하나씩 체크해보고
찾아보고 공부해보니 루테인을 과하게 섭취한탓이였어요.

모든 영양제가 그렇지만.
몸을 챙겨야겠다고 생각이 들어 실천한 작은습관인데
이게 잘못하면 독이 될수있으니
뭐든 섭취를 시작하시기전에 한번씩 검색은
필수입니다. ㅎㅎ 그리고 과유불급.
캡슐은 총 180개 들어있네요.
직구 할인기간 통해 27,830원에 구매하였습니다.
지금은 가격이 다시 3만원대로 올랐는데
또 할인시작하면 다른 약하고 같이
좀 더 쟁여둬야 겠어요.
이제품은 지아잔틴이 함유된 제품이네요.
20mg 하루 한알 챙겨드시고 다들 건강하세요!!


(+ 2020.12.03 추가후기입니다.)
추가사진처럼 약이 변질 된것처럼 보여
몇일동안 약을 안먹었어요.
거의 2주된것같은데 한번씩 오던 눈 가려움이
엄청 심해져서 루테인을 안먹어서 그런가싶지만
산패가 된건지 약을 칼로 찢어보니
손에 묻어도 잘 안지워지고 사방으로 튀어서
난리가;;
연말이라 그런지 로켓직구가 계속 할인이길래
이번에 좀 쟁여둘까 했다가 호구될거같아서
회사 바꿔서 소량의 제품으로 갈아탑니다. ㅜㅜ
제품에대한 설명이나 칭찬이아닌
눈을 위한 후기라서 내용은 그대로 둘게요.
일부러 지아잔틴 함유 루테인을 찾아서 구매한건데
속상하네요 ㅜㅜ


* 제글을 포함하여 가장 상단의 후기나
좋은글만 보고 구매하기보다는
상품평 페이지 우측에 있는 스마트필터를 통해
별점 한개(나쁨) 혹은 두개(별로)도 찾아보면
구매시 더 도움되더라고요!
안전하고 기분좋은 구매하세요 :-)",3.0,냥디팡팡 ,"['주문', '날짜', '수령', '날짜', '로켓', '직구', '유통', '기한', '세계', '이슈', '코로나', '인하다', '공지', '배송', '많이', '늦어지다', '예상', '하다', '생각', '빠르다', '도착', '하다', '직업', '특성', '모니터', '장시간', '보다', '보다', '이제', '루테인', '필수', '챙기다', '먹다', '얼마', '국내', '제품', '먹다', '남지', '않다', '제품', '구매', '해봤다', '비타민', '닥터', '베스트', '자주', '이용', '하다', '크다', '불안감', '없이', '구매', '하다', '금보', '알약', '크기', '기존', '먹다', '제품', '작다', '삼키다', '넘기다', '훨씬', '편하다', '목구멍', '좁다', '알약', '조금', '크다', '식도', '넘어가다', '느낌', '강하다', '제품', '알약', '작다', '먹기', '편하다', '루테인', '일여', '년전', '챙기다', '먹기', '시작', '하다', '시야', '답답하다', '정도', '뿌옇다', '항상', '피로', '하다', '보다', '불편하다', '지장', '많다', '나름', '공부', '시작', '하다', '챙기다', '들다', '공유', '하다', '운동', '스트레칭', '한번', '해주다', '좌측', '스트레칭', '우측', '스트레칭', '째다', '보기', '생각', '돼다', '위쪽', '아래', '고개', '가만히', '두다', '눈알', '움직', '스트레칭', '하다', '마무리', '회전', '역시', '마찬가지', '천천히', '구석구석', '돌리다', '스트레칭', '해주다', '좌측', '시계', '방향', '한번', '반대', '우측', '시계', '방향', '한번', '매일', '저녁', '따뜻하다', '눈알', '씻다', '하루', '초과', '하다', '않다', '루테', '챙기다', '먹기', '어두운곳', '핸드폰', '혹은', '컴퓨터', '사용', '자제', '하다', '장시간', '모니터', '보다', '야하다', '시력', '보호', '안경', '착용', '하다', '도수', '없다', '안경', '블루', '라이트', '차단', '시력', '보호', '되다', '개인', '가려움', '줄어들다', '루테', '섭취', '주의', '하다', '자다', '챙기다', '먹다', '하다', '먹다', '변현', '얼굴', '노랗다', '되다', '있다', '폐암', '발병', '높아지다', '위험', '있다', '반드시', '하루', '최대', '준치', '넘다', '않다', '좋다', '경우', '루테', '섭취', '초창', '루테', '함량', '많다', '도움', '되다', '싶다', '짜다', '하루', '아침', '저녁', '하루', '챙기다', '먹다', '가다', '부쩍', '얼굴', '황달', '진짜', '노랗다', '양제', '먹다', '있다', '도대체', '문제', '이다', '싶다', '하나', '체크', '해보다', '찾아보다', '공부', '해보다', '루테인', '하다', '섭취', '이다', '모든', '양제', '그렇지만', '챙기다', '생각', '들다', '실천', '작다', '습관', '잘못', '하다', '되다', '섭취', '시작', '하다', '기전', '한번', '검색', '필수', '이다', '그리고', '과유', '불급', '캡슐', '들다', '직구', '할인', '기간', '통해', '구매', '하다', '지금', '가격', '다시', '오르다', '할인', '시작', '다른', '약하다', '같이', '쟁여둬', '겠다', '제품', '지아', '잔틴', '함유', '되다', '제품', '하루', '챙기다', '들다', '들다', '건강하다', '추가', '후기', '이다', '추가', '사진', '변질', '되다', '보이다', '동안', '먹다', '거의', '같다', '한번', '오다', '가려움', '엄청', '심해지다', '루테인', '먹다', '그렇다', '산패', '되다', '건지다', '찢다', '보다', '묻다', '자다', '지워지다', '사방', '튀어', '난리', '연말', '그렇다', '로켓', '직구', '계속', '할인', '이기다', '이번', '두다', '하다', '호구', '되다', '같다', '회사', '바꾸다', '소량', '제품', '갈아타다', '제품', '대한', '설명', '칭찬', '아니다', '후기', '내용', '그대로', '두다', '일부러', '지아', '잔틴', '함유', '루테인', '찾다', '속상하다', '포함', '하다', '가장', '상단', '후기', '좋다', '보고', '구매', '하다', '상품', '페이지', '우측', '있다', '스마트', '필터', '통해', '나쁘다', '혹은', '별로', '찾아보다', '구매', '도움', '되다', '안전하다', '기분', '좋다', '구매', '하다']",주문 날짜 수령 날짜 로켓 직구 세계 이슈 코로나 인하다 공지 늦어지다 예상 도착 직업 특성 모니터 장시간 루테인 필수 국내 제품 남지 제품 구매 해봤다 비타민 닥터 베스트 자주 크다 불안감 없이 구매 금보 알약 크기 기존 제품 작다 삼키다 넘기다 편하다 목구멍 좁다 알약 크다 식도 넘어가다 강하다 제품 알약 작다 먹기 편하다 루테인 일여 년전 먹기 시작 시야 답답하다 뿌옇다 항상 피로 불편하다 지장 많다 공부 시작 공유 운동 스트레칭 해주다 좌측 스트레칭 우측 스트레칭 째다 돼다 위쪽 고개 가만히 두다 눈알 움직 스트레칭 마무리 회전 역시 천천히 구석구석 돌리다 스트레칭 해주다 좌측 시계 방향 반대 우측 시계 방향 저녁 따뜻하다 눈알 씻다 초과 루테 먹기 어두운곳 핸드폰 컴퓨터 자제 장시간 모니터 야하다 시력 보호 안경 착용 도수 안경 블루 라이트 차단 시력 보호 개인 가려움 줄어들다 루테 섭취 주의 변현 얼굴 노랗다 폐암 발병 높아지다 위험 최대 준치 넘다 좋다 루테 섭취 초창 루테 함량 많다 도움 싶다 짜다 저녁 부쩍 얼굴 황달 노랗다 양제 도대체 문제 싶다 체크 해보다 찾아보다 공부 해보다 루테인 섭취 모든 양제 실천 작다 습관 잘못 섭취 시작 기전 검색 필수 과유 불급 캡슐 직구 할인 기간 구매 가격 다시 할인 시작 약하다 쟁여둬 겠다 제품 지아 잔틴 함유 제품 건강하다 추가 후기 추가 사진 변질 보이다 가려움 엄청 심해지다 루테인 그렇다 산패 건지다 찢다 묻다 지워지다 사방 튀어 연말 그렇다 로켓 직구 할인 이기다 두다 호구 회사 바꾸다 소량 제품 갈아타다 제품 대한 설명 칭찬 아니다 후기 내용 그대로 두다 일부러 지아 잔틴 함유 루테인 속상하다 포함 가장 후기 좋다 구매 상품 페이지 우측 필터 나쁘다 별로 찾아보다 구매 도움 안전하다 기분 좋다 구매
