,product_name,review_date,review_content,review_star,review_writer,reveiw_replaced,stopremoved_reviews,okt_reviews,mecab_reviews,replaced_review
38,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2021.12.29,"2병이나 샀는데, 지난 회에 산 것보다 유효기간이 짧은 물건이 배송되어 멘붕입니다.",2.0,김*희 ,"2병이나 샀는데, 지난 회에 산 것보다 유효기간이 짧은 물건이 배송되어 멘붕입니다.","2병이나 샀는데, 지난 회에 산 것보다 유효기간이 짧은 물건이 배송되어 멘붕입니다.",지난 유효 기간 짧다 물건 배송 멘붕,지난 유효 기간 짧 물건 배송 멘붕,지난 유효 기간 짧 물건 배송 멘붕
41,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 60개입, 1개, 60정",2021.03.07,"이거 효과 진짜 좋은데 무슨 성분때문인진 몰라도 속이 너무 메스꺼워지네요 아연때문인지,,, 성분 잘 보고 사세요",2.0,박* ,"이거 효과 진짜 좋은데 무슨 성분때문인진 몰라도 속이 너무 메스꺼워지네요 아연때문인지,,, 성분 잘 보고 사세요","좋은데 성분때문인진 몰라도 속이 메스꺼워지네요 아연때문인지,,, 성분 잘 보고 사세요",성분 문인진 아연 때문 자다 보고,성분 인진 아연 때문 자 보,성분 인진 아연 때문 자 보
59,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.07,"상품설명란에
2022년 5월1일 이후인 제품이라고 분명히 적혀있어서
6병이나 샀는데
5월1일까지인제품임
지금먹어도 1개월치는 버려야하는 제품이구요

쿠팡대체 유통기한임박제품 이라고 설명란에 못써놓습까??
그랬슴 구매도안했을텐데

얼른환불해주세요",1.0,전*석 ,"상품설명란에
2022년 5월1일 이후인 제품이라고 분명히 적혀있어서
6병이나 샀는데
5월1일까지인제품임
지금먹어도 1개월치는 버려야하는 제품이구요

쿠팡대체 유통기한임박제품 이라고 설명란에 못써놓습까??
그랬슴 구매도안했을텐데

얼른환불해주세요",상품설명란에 2022년 5월1일 이후인 제품이라고 분명히 적혀있어서 6병이나 샀는데 5월1일까지인제품임 지금먹어도 1개월치는 버려야하는 제품이구요 쿠팡대체 유통기한임박제품 이라고 설명란에 못써놓습까?? 그랬슴 구매도안했을텐데 얼른환불해주세요,상품 설명 이후 제품 지금 개월 야하다 이구 쿠팡 대체 유통 기한 임박 그랬슴 구매 도안 얼른 환불,상품 설명 이후 제품 지금 개월 야하 이구 대체 유통 기한 임박 그랬 구매 도안 얼른 환불,상품 설명 이후 제품 지금 개월 야하 이구 대체 유통 기한 임박 그랬 구매 도안 얼른 환불
61,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.07,진짜.....아니 2월에 구매하는데 5월 유통기한인걸 팔면 어떻게하나요...심지어 3통이나 구매했는데......진짜 유통기한 긴 제품으로 확인하고 판매하시면 좋겠네요.,1.0,김*경 ,진짜.....아니 2월에 구매하는데 5월 유통기한인걸 팔면 어떻게하나요...심지어 3통이나 구매했는데......진짜 유통기한 긴 제품으로 확인하고 판매하시면 좋겠네요.,진짜.....아니 2월에 구매하는데 5월 유통기한인걸 팔면 어떻게하나요...심지어 3통이나 구매했는데......진짜 유통기한 긴 제품으로 확인하고 판매하시면 좋겠네요.,진짜 구매 유통 기한 팔면 하나요 심지어 기다 제품 확인 판매,진짜 구매 유통 기한 팔 하나 심지어 기다 제품 확인 판매,진짜 구매 유통 기한 팔 하나 심지어 기다 제품 확인 판매
63,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.05,"2병샀는데 유통기한이 5월까지에요
한병에 3개월치인데
어쩔",1.0,구*희 ,"2병샀는데 유통기한이 5월까지에요
한병에 3개월치인데
어쩔",2병샀는데 유통기한이 5월까지에요 한병에 3개월치인데 어쩔,유통 기한 개월치,유통 기한 개월,유통 기한 개월
64,"바슈롬 오큐바이트 루테인 & 안티옥시단트 타블렛, 120개입, 1개, 120정",2022.02.09,유통기한이 23년 7월이후라고 보고 2개구입했는데 유통기한22년 5월까지 입니다 어떻게 해야하는지~~,1.0,강*협 ,유통기한이 23년 7월이후라고 보고 2개구입했는데 유통기한22년 5월까지 입니다 어떻게 해야하는지~~,유통기한이 23년 7월이후라고 보고 2개구입했는데 유통기한22년 5월까지 어떻게 해야하는지~~,유통 기한 보고 구입,유통 기한 보 구입,유통 기한 보 구입
97,"닥터스베스트 루테인 20mg 소프트젤, 180정, 1개",2022.06.17,"눈이 불편해도 피곤해서 그런가하고 넘겼는데
눈 가장자리가 조금따갑고 가려워서 눈꺼풀을
뒤집어보니 눈꺼플 안쪽이 빨갛게 되어있고
흰자에도 핏줄이 나있고 이거먹고 눈에 문제
생겼어요 정면으로 볼땐 아무이상 없는데
뒤집어보니 심각합니다
그래서 눈이 불편한것을 피곤해서
불편하다 생각한 제 잘못이죠
지금보니 약이 안에서 분리되어 까맣게
상태가 심각하네요 바쁘니 한알 꺼내서
먹고 물마시고 자세히 확인 안한 실수죠
문제 생기고 다른분 상품평보니 가렵다는분
있었고 또다른분 약사진 보니까 저보다
상태가 좋은데 쿠팡에 문의하니 먹지말라고
했던데 정말 화가납니다 눈주위로
자꾸 가렵네요
저만 그런건지 상품평 좋길래 샀는데
이 약 정말 실망입니다",1.0,강*선 ,"눈이 불편해도 피곤해서 그런가하고 넘겼는데
눈 가장자리가 조금따갑고 가려워서 눈꺼풀을
뒤집어보니 눈꺼플 안쪽이 빨갛게 되어있고
흰자에도 핏줄이 나있고 이거먹고 눈에 문제
생겼어요 정면으로 볼땐 아무이상 없는데
뒤집어보니 심각합니다
그래서 눈이 불편한것을 피곤해서
불편하다 생각한 제 잘못이죠
지금보니 약이 안에서 분리되어 까맣게
상태가 심각하네요 바쁘니 한알 꺼내서
먹고 물마시고 자세히 확인 안한 실수죠
문제 생기고 다른분 상품평보니 가렵다는분
있었고 또다른분 약사진 보니까 저보다
상태가 좋은데 쿠팡에 문의하니 먹지말라고
했던데 정말 화가납니다 눈주위로
자꾸 가렵네요
저만 그런건지 상품평 좋길래 샀는데
이 약 정말 실망입니다",눈이 불편해도 피곤해서 그런가하고 넘겼는데 눈 가장자리가 조금따갑고 가려워서 눈꺼풀을 뒤집어보니 눈꺼플 안쪽이 빨갛게 되어있고 흰자에도 핏줄이 나있고 이거먹고 눈에 문제 생겼어요 정면으로 볼땐 아무이상 없는데 뒤집어보니 심각합니다 눈이 불편한것을 피곤해서 불편하다 생각한 잘못이죠 지금보니 약이 안에서 분리되어 까맣게 상태가 심각하네요 바쁘니 한알 꺼내서 먹고 물마시고 자세히 확인 안한 실수죠 문제 생기고 다른분 상품평보니 가렵다는분 있었고 또다른분 약사진 보니까 저보다 상태가 좋은데 쿠팡에 문의하니 먹지말라고 했던데 정말 화가납니다 눈주위로 자꾸 가렵네요 저만 그런건지 상품평 좋길래 샀는데 약 정말 실망입니다,런가 가장자리 조금 눈꺼풀 어보 안쪽 흰자 핏줄 문제 정면 볼땐 이상 생각 잘못 금보 분리 상태 확인 안 실수 생기 상품 평보 가렵다는분 사진 보 쿠팡 문의 정말 화가 위로 자꾸 가렵 실망 주위,런가 가장자리 조금 눈꺼풀 어보 안쪽 흰자 핏줄 문제 정면 볼땐 이상 생각 잘못 금보 분리 상태 확인 안 실수 생기 상품 평보 가렵 다는 사진 보 정말 자꾸 가렵 실망 주위,런가 가장자리 조금 눈꺼풀 어보 안쪽 흰자 핏줄 문제 정면 볼땐 이상 생각 잘못 금보 분리 상태 확인 안 실수 생기 상품 평보 가렵 다는 사진 보 정말 자꾸 가렵 실망 주위
100,"닥터스베스트 루테인 20mg 소프트젤, 180정, 1개",2021.03.18,"유통기한은 넉넉한데요
캡슐이 투명하다보니 내용물이 다 보여요
근데 자세히 보니까 기름이 분리된것처럼 보이는데
왠지 찝찝해서요 이거 먹어도 되나요?
혹시 변질되엇다거나 가짜는 아니겟지요 ㅜ.ㅜ
지금 먹은지 한달 넘엇는데 크게 효과도 없는것같아서요
노안이 와서 안구건조증때문에 자고 일어낫을때 눈이 뻑뻑해서 루테인을 안떨어뜨리고 먹엇어요
기존에 먹던건 국내제약회사껀데요 그거 먹을때는 아침에 눈뜨기가 수월햇는데 이제품 먹고나서는 효과가 거의 없어서
점안액 한두방울 넣어야 눈이 떨어지네요
기존에 먹던 루테인은 흑갈색이라서 안이 안보여서 몰랏는데
이렇게 투명해서 잘보이니까 좀 그러네요
괜한 생각인가싶기도하고 ㅎ",2.0,박*수 ,"유통기한은 넉넉한데요
캡슐이 투명하다보니 내용물이 다 보여요
근데 자세히 보니까 기름이 분리된것처럼 보이는데
왠지 찝찝해서요 이거 먹어도 되나요?
혹시 변질되엇다거나 가짜는 아니겟지요 ㅜ.ㅜ
지금 먹은지 한달 넘엇는데 크게 효과도 없는것같아서요
노안이 와서 안구건조증때문에 자고 일어낫을때 눈이 뻑뻑해서 루테인을 안떨어뜨리고 먹엇어요
기존에 먹던건 국내제약회사껀데요 그거 먹을때는 아침에 눈뜨기가 수월햇는데 이제품 먹고나서는 효과가 거의 없어서
점안액 한두방울 넣어야 눈이 떨어지네요
기존에 먹던 루테인은 흑갈색이라서 안이 안보여서 몰랏는데
이렇게 투명해서 잘보이니까 좀 그러네요
괜한 생각인가싶기도하고 ㅎ",유통기한은 넉넉한데요 캡슐이 투명하다보니 내용물이 다 보여요 근데 자세히 보니까 기름이 분리된것처럼 보이는데 왠지 찝찝해서요 먹어도 되나요? 변질되엇다거나 가짜는 아니겟지요 ㅜ.ㅜ 먹은지 넘엇는데 크게 효과도 없는것같아서요 노안이 와서 안구건조증때문에 자고 일어낫을때 눈이 뻑뻑해서 루테인을 안떨어뜨리고 먹엇어요 기존에 먹던건 국내제약회사껀데요 먹을때는 아침에 눈뜨기가 수월햇는데 이제품 먹고나서는 효과가 없어서 점안액 한두방울 넣어야 눈이 떨어지네요 기존에 먹던 루테인은 흑갈색이라서 안이 안보여서 몰랏는데 이렇게 투명해서 잘보이니까 그러네요 괜한 생각인가싶기도하고 ㅎ,유통 기한 캡슐 내용물 기름 분리 변질 거나 가짜 크게 효과 노안 안구건조증 때문 자고 일어 뻑뻑 루테 먹엇어 기존 국내 제약회사 껀데 아침 월햇 제품 점안액 방울 갈색 안이 안보 몰랏는데 생각 기도,유통 기한 캡슐 내용물 기름 분리 변질 거나 가짜 크 효과 노안 안구건조증 때문 자 일어 뻑뻑 먹 기존 국내 약회 아침 제품 점안 방울 갈색 안 안보 몰 생각 기도,유통 기한 캡슐 내용물 기름 분리 변질 거나 가짜 크 효과 노안 안구건조증 때문 자 일어 뻑뻑 먹 기존 국내 약회 아침 제품 점안 방울 갈색 안 안보 몰 생각 기도
162,"데일리케어 유한 루테인지아잔틴 플러스, 30정, 2개",2022.05.14,먹어도 별효과는 그닥못느꼈어요,2.0,김*경 ,먹어도 별효과는 그닥못느꼈어요,먹어도 별효과는 그닥못느꼈어요,효과 그닥못 그닥,효과 그닥 그닥,효과 그닥 그닥
186,"종근당건강 눈에 좋은 아이팜 루테인, 90정, 1개",2019.05.24,"종근당 이름만 믿고 구매했는데 반나절도 안되서 눈이 엄청 피곤합니다
버릴수도 타 제품사서
같이 먹을수도.. 버릴수도...
타사 제품 먹았을때는 하루종일 피곤하지않았는데
다른거로 다시 구매해야할것같네요",1.0,신난댜 ,"종근당 이름만 믿고 구매했는데 반나절도 안되서 눈이 엄청 피곤합니다
버릴수도 타 제품사서
같이 먹을수도.. 버릴수도...
타사 제품 먹았을때는 하루종일 피곤하지않았는데
다른거로 다시 구매해야할것같네요",종근당 이름만 믿고 구매했는데 반나절도 안되서 눈이 엄청 피곤합니다 버릴수도 타 제품사서 먹을수도.. 버릴수도... 타사 제품 먹았을때는 하루종일 피곤하지않았는데 다른거로 다시 구매해야할것같네요,종근당 이름 구매 반나절 제품 사서 먹다 하루 종일 다르다 다시,종근당 이름 구매 반나절 제품 사 먹 하루 종일 다르 다시,종근당 이름 구매 반나절 제품 사 먹 하루 종일 다르 다시
