,product_name,review_date,review_content,review_star,review_writer,tokenized_reviews,replaced_review
177,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.02.23,"배송 빨라요 유통기한 기한이 넉넉해요
생리전증후군에 좋다하여 한번 주문해 먹어봤는데 솔직히 좋은걸 못느꼈었어요. 그런데 잠시 중단하니 바로 이번 생리전이 무지 힘들어오는게.. 그동안 보라지유를 복용해서 괜찮아졌었나 라는 생각에 급하게 주문했네요.
다시 제대로 먹어봐야겠어요.
상세보기
상세보기",3.0,best**,"['배송', '빨르다', '유통', '기한', '기한', '넉넉하다', '생리', '증후군', '좋다', '한번', '주문', '하다', '먹다', '보다', '솔직하다', '좋다', '느끼다', '그런데', '잠시', '중단', '하다', '바로', '이번', '생리', '전이', '무지', '힘들다', '그동안', '보라', '지유', '복용', '하다', '괜찮다', '생각', '급하다', '주문', '하다', '다시', '제대로', '먹다', '보다', '상세', '보기', '상세', '보기']",빨르다 생리 증후군 좋다 주문 솔직하다 좋다 느끼다 그런데 중단 생리 전이 무지 힘들다 보라 지유 복용 괜찮다 급하다 주문 다시 제대로
237,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2018.02.07,"배송 빨라요
아직은 효능은 잘모르겠네요~꾸준히 복용후 재구매할때는 정확한 상품평 남길께요~!",3.0,fw05**,"['배송', '빨르다', '아직', '효능', '모르다', '꾸준하다', '복용', '재다', '하다', '정확하다', '상품', '남다']",빨르다 아직 효능 모르다 꾸준하다 복용 재다 정확하다 상품 남다
249,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.01.06,"배송 보통이에요 성능 성능이 별로예요 유통기한 보통이에요
감마리놀렌산 효능이야 어떤 제약회사 제품이던지여성 갱년기에 효과는 있어요. 유독 이상품만 가격이 높네요. 다른 회사와 비교 감마리놀렌산 함유율은 10% 높은데 가격은 4배나 높아요. 다른회사제품 6개월에 40,000원이 않하거든요. 거기다 가격을 쥐도새도 모르게 30%나 올려 놨네요. 90캡슐 판매하던것을 60캡슐로 줄여놨어요. 괘씸해서 다시는 구입 않하려구요.
상세보기
상세보기
상세보기",1.0,sbc5***,"['배송', '보통', '성능', '성능', '별로', '유통', '기한', '보통', '감마', '리놀렌산', '효능', '어떻다', '제약회사', '제품', '여성', '갱년기', '효과', '있다', '유독', '상품', '가격', '높다', '다른', '회사', '비교', '감마', '리놀렌산', '함유', '높다', '가격', '높다', '회사', '제품', '개월', '않다', '거기', '가격', '새다', '모르다', '올리다', '놨네', '캡슐', '판매', '하다', '캡슐', '줄이다', '괘씸하다', '다시다', '구입', '않다', '하다', '상세', '보기', '상세', '보기', '상세', '보기']",별로 감마 리놀렌산 효능 어떻다 제약회사 제품 여성 갱년기 유독 상품 가격 높다 회사 비교 감마 리놀렌산 함유 높다 가격 높다 회사 제품 가격 새다 모르다 올리다 놨네 캡슐 판매 캡슐 줄이다 괘씸하다 다시다 구입
311,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.10.15,"배송 빨라요 성능 성능이 뛰어나요 유통기한 보통이에요
가격이 좀만 저렴하면 좋을텐데. . . . ㅎ 효과는 확실히 좋아요 먹었을때와 안먹었을 때의 차이가 ㅋ ㅋ ㅋ",3.0,zzan******,"['배송', '빨르다', '성능', '성능', '뛰어나다', '유통', '기한', '보통', '가격', '저렴하다', '좋다', '효과', '확실하다', '좋다', '먹다', '먹다', '차이']",빨르다 뛰어나다 가격 저렴하다 좋다 확실하다 좋다 차이
316,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2017.05.17,"가격 안 싸네요 배송 보통이에요
40대라보니 여자에게 좋은 식품을 찾게되내요 열심히 먹어 젊게 살고 싶내요",3.0,pym7***,"['가격', '싸다', '배송', '보통', '라보', '여자', '좋다', '식품', '찾다', '열심히', '먹다', '젊다', '싶다']",가격 싸다 라보 좋다 식품 젊다 싶다
320,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.06.11,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
알 크기가너무커서 목넘김이 힘드네요",3.0,ssj5***,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '크기', '너무', '커서', '넘김', '힘드다']",크기 커서 넘김 힘드다
323,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.11.26,"배송 보통이에요 성능 성능이 뛰어나요 유통기한 보통이에요
너무 비싸요 왜이렇게 빨리떨어지는지 짐이야 돈을버니깐사는데 부담스러운가격입니다",3.0,amaz********,"['배송', '보통', '성능', '성능', '뛰어나다', '유통', '기한', '보통', '너무', '비싸다', '이렇게', '빨리', '떨어지다', '버니', '깔다', '살다', '부담스럽다', '가격', '이다']",뛰어나다 비싸다 이렇게 빨리 떨어지다 깔다 살다 부담스럽다 가격
339,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.06.22,"배송 빨라요 성능 성능이 별로예요 유통기한 기한이 넉넉해요
효과는 전혀없는듯
그냥 먹던거 먹어야겠네요ㅠ",2.0,jjl5***,"['배송', '빨르다', '성능', '성능', '별로', '유통', '기한', '기한', '넉넉하다', '효과', '전혀', '없다', '그냥', '먹다', '먹다']",빨르다 별로 전혀
349,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2013.11.25,혈액순환에 도움을 받고자 감마리놀렌산 달맞이 종자유를 구입해서 꾸준히 복용하고 있으나 아직은 크게 효과를 보지 못하고 있어 의아해하고 있다. 아직 시간적으로 충분하지 못했을 수도 있어 좀더 먹어보고 효과가 없으면 다른 제품으로 교체해서 복용해 볼까 한다. 약간의 손 절임이 있는데 개선이 안될런지....,3.0,eyou******,"['혈액', '순환', '도움', '받다', '감마', '리놀렌산', '달맞이', '자유', '구입', '하다', '꾸준하다', '복용', '있다', '아직', '크게', '효과', '보지', '있다', '의아', '하다', '있다', '아직', '시간', '충분하다', '하다', '수도', '있다', '좀더', '먹다', '보고', '효과', '없다', '다른', '제품', '교체', '하다', '복용', '하다', '보다', '하다', '약간', '절임', '있다', '개선', '안될런']",혈액 순환 도움 감마 리놀렌산 달맞이 자유 구입 꾸준하다 복용 아직 크게 보지 의아 아직 충분하다 제품 교체 복용 절임 개선 안될런
358,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2021.01.31,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
꾸준히 먹었는데 생리주기가
21일에서 40일로 늘어났어요",3.0,기다려꾸꿍,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '꾸준하다', '먹다', '생리', '주기', '늘어나다']",꾸준하다 생리 주기 늘어나다
367,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,2020.02.10,"배송 보통이에요 성능 보통이에요 유통기한 보통이에요
딱 가격에 맞는거 같아요 좀더 먹어봐야 겠어요",3.0,jwhd*******,"['배송', '보통', '성능', '보통', '유통', '기한', '보통', '가격', '맞다', '같다', '좀더', '먹다', '보다', '겠다']",가격 맞다 겠다
